Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019]
Egypt, Arab Rep.,EGY,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,31.5904536345414,-2.6858645991968
Egypt, Arab Rep.,EGY,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,17.984655608418,16.6440314510365
"Egypt, Arab Rep.,EGY,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,51619507000,53522607000"
Egypt, Arab Rep.,EGY,Imports of goods and services (current US$),NE.IMP.GNFS.CD,73331457512.6618,78012528473.8041
Egypt, Arab Rep.,EGY,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,7.2468043264504,-8.58164481525607
Egypt, Arab Rep.,EGY,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,27.9263640649779,24.4799857040743
Turkiye,TUR,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,9.09060672084495,5.27852045348192
Turkiye,TUR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,31.2326962348151,33.0742160572998
"Turkiye,TUR,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,244379000000,253865000000"
Turkiye,TUR,Imports of goods and services (current US$),NE.IMP.GNFS.CD,244453305856.842,229207956545.671
Turkiye,TUR,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-6.17232899711514,-5.0119711524453
Turkiye,TUR,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,31.3815223078694,30.1190768431148
Afghanistan,AFG,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,..,..
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
"Afghanistan,AFG,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,1609472020.80143,1515758748.64214"
Afghanistan,AFG,Imports of goods and services (current US$),NE.IMP.GNFS.CD,..,..
Afghanistan,AFG,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,..,..
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,..,..
Albania,ALB,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,4.02575803144475,2.48007529286791
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,31.1140103851547,30.9361353522288
